dataset_name,source_file,output_file,row_count,column_count,columns
products,data/raw/source=dummyjson/type=products/ingest_date=2026-04-20/products_20260420_224800.json,data/staged/source=dummyjson/products.parquet,100,30,"id, title, description, category, price, discountPercentage, rating, stock, tags, brand, sku, weight, warrantyInformation, shippingInformation, availabilityStatus, reviews, returnPolicy, minimumOrderQuantity, images, thumbnail, dimensions.width, dimensions.height, dimensions.depth, meta.createdAt, meta.updatedAt, meta.barcode, meta.qrCode, _source_system, _source_file, _prepared_at"
users,data/raw/source=dummyjson/type=users/ingest_date=2026-04-20/users_20260420_224801.json,data/staged/source=dummyjson/users.parquet,100,55,"id, firstName, lastName, maidenName, age, gender, email, phone, username, password, birthDate, image, bloodGroup, height, weight, eyeColor, ip, macAddress, university, ein, ssn, userAgent, role, hair.color, hair.type, address.address, address.city, address.state, address.stateCode, address.postalCode, address.coordinates.lat, address.coordinates.lng, address.country, bank.cardExpire, bank.cardNumber, bank.cardType, bank.currency, bank.iban, company.department, company.name, company.title, company.address.address, company.address.city, company.address.state, company.address.stateCode, company.address.postalCode, company.address.coordinates.lat, company.address.coordinates.lng, company.address.country, crypto.coin, crypto.wallet, crypto.network, _source_system, _source_file, _prepared_at"
carts,data/raw/source=dummyjson/type=carts/ingest_date=2026-04-20/carts_20260420_224802.json,data/staged/source=dummyjson/carts.parquet,100,9,"cart_id, user_id, total, discounted_total, total_products, total_quantity, _source_system, _source_file, _prepared_at"
cart_items,data/raw/source=dummyjson/type=carts/ingest_date=2026-04-20/carts_20260420_224802.json,data/staged/source=dummyjson/cart_items.parquet,378,13,"cart_id, user_id, product_id, product_title, price, quantity, total, discount_percentage, discounted_total, thumbnail, _source_system, _source_file, _prepared_at"
