model_family,model_name,model_type,top_k,evaluated_users,hits,hit_rate_at_10,precision_at_10,recall_at_10,ndcg_at_10,model_artifact_path,training_report_path
global_popularity_baseline,retailrocket_popularity_recommender,event_weighted_global_popularity,10,3648,49,0.0134320175438596,0.0013432017543859,0.0134320175438596,0.0076286552952891,models/retailrocket/popularity_recommender.pkl,reports/retailrocket_model_training_summary.csv
content_based_filtering,retailrocket_content_based_recommender,category_content_based_filtering,10,3648,27,0.0074013157894736,0.0007401315789473,0.0074013157894736,0.0028152506650017,models/retailrocket/content_based_recommender.pkl,reports/retailrocket_content_model_training_summary.csv
