model_name,model_type,requested_user_count,top_k,recommendation_rows,distinct_recommended_items,training_hit_rate_at_10,training_precision_at_10,training_recall_at_10,test_target_users,model_key,model_artifact_path,candidate_or_saved_item_count,training_ndcg_at_10,train_event_count,test_event_count
retailrocket_popularity_recommender,event_weighted_global_popularity,5,5,25,18,0.0134320175438596,0.0013432017543859,0.0134320175438596,3648,popularity,models/retailrocket/popularity_recommender.pkl,5000.0,0.0076286552952891,2509138.0,246963.0
retailrocket_content_based_recommender,category_content_based_filtering,5,5,25,7,0.007401315789473684,0.0007401315789473684,0.007401315789473684,3648,content_based,models/retailrocket/content_based_recommender.pkl,5000.0,0.002815250665001704,,
